Process_Name,P_id,Process_Username
vrol.exe,10848,NT AUTHORITY\SYSTEM
svchost.exe,10924,NT AUTHORITY\SYSTEM
chrome.exe,11020,DESKTOP-G9FTNSD\Yogesh
ctfmon.exe,11140,DESKTOP-G9FTNSD\Yogesh
chrome.exe,11172,DESKTOP-G9FTNSD\Yogesh
svchost.exe,11188,NT AUTHORITY\LOCAL SERVICE
RuntimeBroker.exe,11272,DESKTOP-G9FTNSD\Yogesh
AvastUI.exe,11432,DESKTOP-G9FTNSD\Yogesh
svchost.exe,11600,NT AUTHORITY\SYSTEM
svchost.exe,11612,DESKTOP-G9FTNSD\Yogesh
cmd.exe,11664,DESKTOP-G9FTNSD\Yogesh
svchost.exe,11748,NT AUTHORITY\SYSTEM
chrome.exe,11788,DESKTOP-G9FTNSD\Yogesh
svchost.exe,11872,NT AUTHORITY\SYSTEM
taskhostw.exe,11980,DESKTOP-G9FTNSD\Yogesh
csrss.exe,12144,NT AUTHORITY\SYSTEM
svchost.exe,12180,DESKTOP-G9FTNSD\Yogesh
chrome.exe,12216,DESKTOP-G9FTNSD\Yogesh
chrome.exe,12316,DESKTOP-G9FTNSD\Yogesh
sihost.exe,12352,DESKTOP-G9FTNSD\Yogesh
svchost.exe,12380,NT AUTHORITY\LOCAL SERVICE
winlogon.exe,12392,NT AUTHORITY\SYSTEM
chrome.exe,12424,DESKTOP-G9FTNSD\Yogesh
python.exe,12532,DESKTOP-G9FTNSD\Yogesh
Notepad.exe,12772,DESKTOP-G9FTNSD\Yogesh
StartMenuExperienceHost.exe,12784,DESKTOP-G9FTNSD\Yogesh
pycharm64.exe,12916,DESKTOP-G9FTNSD\Yogesh
svchost.exe,12920,NT AUTHORITY\SYSTEM
svchost.exe,13044,NT AUTHORITY\SYSTEM
